id,verb,meaning,human_majority_form,human_majority_form_count,human_supported_forms,human_majority_suffix,human_majority_suffix_count,human_attested_suffixes,human_num_distinct_forms,human_num_distinct_suffixes
1,вертеть,вертеть,вертельщик/вертильщик/вертульщик,10,вертельщик/вертильщик/вертульщик; вертун/верчун; вертетель; вертела; вертухай,-льщик,10,-льщик; -ун; -тель; -л(о) (-л(а)),6,5
2,выть,выть,воюн/вун,11,воюн/вун; вытик; вытель/воятель; войник; воищик; выло,-ун,11,"-ун; -ник (-еник, -ик); -тель; -щик (-чик); -л(о) (-л(а))",6,5
3,гнуть,гнуть,Гнутец/гнетец/гнец/гнулец,8,гнутель; гнетальщик; гнетчик/гнетщик; Гнулка; Гнульщик; Гнун; Гнуңщик; Гнутец/гнетец/гнец/гнулец; Гнутик; Гнуток; Сгибатель; Сгибщик/гибщик,-ец (-нец),8,"-тель; -льщик; -щик (-чик); -л(о) (-л(а)); -ун; -ец (-нец); -ник (-еник, -ик); -ок",12,8
4,дуть,дуть,Дувец/дудец/дуец/дутец,8,выдувальщик; Дувец/дудец/дуец/дутец; дульщик; Дун; дуновщик; дутель/дуятель; Надуватель,-ец (-нец),8,-льщик; -ец (-нец); -ун; -щик (-чик); -тель,7,5
5,опаздывать,опаздывать,опаздун/опоздун,23,опаздун/опоздун; опаздыватель,-ун,23,-ун; -тель,2,2
6,поднатаскать,подготовить натренировать,поднатаскиватель/поднатаскатель/натаскиватель,21,поднатаскиватель/поднатаскатель/натаскиватель; поднатасчик,-тель,21,-тель; -щик (-чик),2,2
7,рыдать,рыдать,рыдатель,5,рыдалец; рыдальщик; рыдун; рыдатель; рыдайка; рыдала; рыдатик,-тель,5,"-щик (-чик); -льщик; -ун; -тель; -ка; -л(о) (-л(а)); -ник (-еник, -ик)",7,7
8,стащить,стащить,таскун/тащун/утаскун/стащун,7,стаскиватель/стащиватель/стащитель; стащильщик/тащильщик/таскальщик/стащик; таскун/тащун/утаскун/стащун; тащила; стащер,-ун,7,-тель; -льщик; -ун; -л(о) (-л(а)); -ер (-ор),5,5
9,хихикать,хихикать,хихикатель,5,хихикатель; хихикалец; хиха/хихикач; хихишник; хихикаль; хиханька; хихатун/хихикун; хихикалка/хихикль; хихикан; хихика; хихоня,-тель,5,"-тель; -ец (-нец); -ник (-еник, -ик); -л(о) (-л(а)); -ка; -ун",11,7
10,авитить,продавать вещи на авито,Авитор/авитёр/авитер,7,авит; Авитальщик; Авитатель/авититель; авитель; Авитила; Авитист; авититщик/авищик; Авитовец; Авитор/авитёр/авитер; Авитчик,-ер (-ор),7, -льщик; -тель; -л(о) (-л(а)); -ист; -щик (-чик); -ец (-нец); -ер (-ор),10,8
11,вайкнуть,больно стукнуться локтем ,Вайкатель,8,Вайк; вайка; вайкавщик; Вайкала; Вайкалец; Вайкаль; Вайканавт; Вайкатель; вайкатчик; Вайкса; Вайкун; вайкуша; вайкучник,-тель,8," -ка; -щик (-чик); -л(о) (-л(а)); -ец (-нец); -тель; -ун; -ник (-еник, -ик)",13,8
12,варатать,мечтать и придумывать сценарии в голове (эквивалент английскому daydream),варататель,14,Варатал; варатальщик; варататель; Варатун; воротец,-тель,14,-л(о) (-л(а)); -льщик; -тель; -ун; -ец (-нец),5,5
13,вуляжить,спать на животе,вуляжитель,5,вулец; Вуляж; Вуляжа; Вуляжака; Вуляжер; вуляжик; Вуляжиль; Вуляжист; вуляжитель; Вуляжник; вуляжун; Вуляжчик; Вуляха; Вуляцист,-тель,5,"-ец (-нец); -ка; -ер (-ор); -ник (-еник, -ик); -ист; -тель; -ун; -щик (-чик)",14,9
14,жойкать,поймать предмет ртом,жойкатель,6,Жойка; Жойкальщик; Жойкарь; жойкатель; Жойкач/жойкич; жойкер; Жойкист; жойковец/жойкец; жойкун; Жойкунчик; Жойкщик/жойкщица,-тель,6,-ка; -льщик; -арь; -тель; -щик (-чик); -ер (-ор); -ист; -ец (-нец); -ун,11,9
15,идрать,ходить на носочках,идратель/идраитель/идративатель,12,идрак; идратель/идраитель/идративатель; идрашка; Идрающий; Идрец; Идрила; Идрун; идрун/идрок; идрущик,-тель,12,-тель; -ка; -ец (-нец); -л(о) (-л(а)); -ун; -ок; -щик (-чик),9,8
16,куртать,есть макароны вниз головой,куртатель,8,Курталец/куртанец; куртальщик; куртатель; Куртатка; Курташ/куртач; Куртец; Куртильщик; куртун/куртан; куртящик,-тель,8,-ец (-нец); -льщик; -тель; -ка; -щик (-чик); -ун,9,6
17,лубудить,облизывать сосульки,Лубудильник/лубудильчик/лубудильщик,5,Лубуд(ь); Лубудайка; Лубудёнок/лубуденыш; Лубудец; лубудикер; лубудилка; Лубудильник/лубудильчик/лубудильщик; Лубудитель; лубудун; лубудщик; Лубудяха,"-ник (-еник, -ик)",5,"-ка; -ец (-нец); -ер (-ор); -ник (-еник, -ик); -тель; -ун; -щик (-чик); -льщик",11,9
18,мазадить,управлять снами,мазадист,5,маз(а)дун; Мазад; мазадатор; Мазадель; мазадёр/мазадир; мазадист; мазадит; мазадитель/мазидатель; мазадун; Мазадчик/мазадщик,-ист,5,-ун; -ер (-ор); -ист; -тель; -щик (-чик),10,6
19,малтать,"молча кивать, когда ничего не понял",Малтун,10,Малтальщик; Малтанец; Малтатель; малташка; малтащий; Малтун; Малтыш,-ун,10,-льщик; -ец (-нец); -тель; -ка; -ун,7,6
20,палеведать,интересоваться динозаврами,Палевед,11,Паведедальщик; Палевед; Палеведатель; палеведец; палеведующий; палеведчик; Палевод; Палефил,другое,11,-льщик; -тель; -ец (-нец);-щик (-чик),8,4
21,пиланить,ходить спиной вперед,пиланщики,6,пилаки; пиланаторы; пиланики; пиланили; Пиланисты; Пиланитель; Пиланиты; Пилантели; Пиланцы; пиланщики; пиланы; пиланящие; Пиланёры,-щик (-чик),6,"-ник (-еник, -ик); -ист; -тель; -ец (-нец); -щик (-чик); -ер (-ор)",13,7
22,фаять,лепить фигурки из соленого теста,Фаятель,12,фаяльщик/фаянщик; Фаянист; Фаятель,-тель,12,-льщик; -щик (-чик); -ист; -тель,3,4
23,фуркозить,нервно перебирать что-то руками,Фуркоз,4,Фуркоз; фуркозёр; Фуркозина; Фуркозист; фуркозка; Фуркозник; фуркозун; Фуркозус; Фуркозчик/фуркозик; Фуркозя; фуркозя; фуркозяв; фуркузоид,другое,8,"-ер (-ор); -ист; -ка; -ник (-еник, -ик); -ун; -щик (-чик)",13,7
