id,verb,meaning,output,suffix,embedding_path
1,вертеть,вертеть,вертильщик,-льщик,
2,выть,выть,волк,другое,
3,гнуть,гнуть,гнущийся,другое,
4,дуть,дуть,дуй,другое,
5,опаздывать,опаздывать,опоздун,-ун,
6,поднатаскать,подготовить натренировать,поднатаскиватель,-тель,
7,рыдать,рыдать,плакса,другое,
8,стащить,стащить,cтащитель,-тель,
9,хихикать,хихикать,хихикатель,-тель,
10,авитить,продавать вещи на авито,авититель,-тель,
11,вайкнуть,больно стукнуться локтем ,вайкунщик,-щик (-чик),
12,варатать,мечтать и придумывать сценарии в голове (эквивалент английскому daydream),варатор,-ер (-ор),
13,вуляжить,спать на животе,вуляжник,"-ник (-еник, -ик)",
14,жойкать,поймать предмет ртом,жойщик,-щик (-чик),
15,идрать,ходить на носочках,идратель,-тель,
16,куртать,есть макароны вниз головой,куртан,другое,
17,лубудить,облизывать сосульки,лубудила,-л(о) (-л(а)),
18,мазадить,управлять снами,мазадист,-ист,
19,малтать,"молча кивать, когда ничего не понял",малтун,-ун,
20,палеведать,интересоваться динозаврами,палеведатель,-тель,
21,пиланить,ходить спиной вперед,пиликан,другое,
22,фаять ,лепить фигурки из соленого теста,фаяльщик,-льщик,
23,фуркозить,нервно перебирать что-то руками,фуркозник,"-ник (-еник, -ик)",
