id,verb,meaning,qwen_output,qwen_suffix,mistral_output,mistral_suffix,claude_output,claude_suffix,yandex_output,yandex_suffix,alice_output,alice_suffix
1,вертеть,вертеть,вертун,-ун,вертильщик,-льщик,вертун,-ун,вертельщик,-ун,вертун,-ун
2,выть,выть,вытья,другое,волк,другое,вой,другое,воющий,другое,воющий,другое
3,гнуть,гнуть,гнусарь,-арь,гнущийся,другое,гнун,-ун,гнётчик,-щик (-чик),гнётчик,-щик (-чик)
4,дуть,дуть,дущик,-щик (-чик),дуй,другое,дун,-ун,дутьщик,-щик (-чик),дутель,-тель
5,опаздывать,опаздывать,опоздун,-ун,опоздун,-ун,опоздун,-ун,опоздун,-ун,опоздун,-ун
6,поднатаскать,подготовить натренировать,поднатаскатель,-тель,поднатаскиватель,-тель,поднатаскиватель,-тель,Поднатаскиватель.,-тель,поднатаскиватель,-тель
7,рыдать,рыдать,рыдающий,другое,плакса,другое,рыдала,-л(о) (-л(а)),рыдающий,другое,рыдающий,другое
8,стащить,стащить,сталкер,-ер (-ор),cтащитель,-тель,стащила,-л(о) (-л(а)),стащитель/тать,-тель, Стащильщик,-льщик
9,хихикать,хихикать,хихикун,-ун,хихикатель,-тель,хихикала,-л(о) (-л(а)),хихикающий,другое, Хихикальщик,-льщик
10,авитить,продавать вещи на авито,авитер,-ер (-ор),авититель,-тель,авитчик,-щик (-чик),авититель,-ун, авитчик,-щик (-чик)
11,вайкнуть,больно стукнуться локтем ,вайкунщик,-щик (-чик),вайкунщик,-щик (-чик),вайкала,-л(о) (-л(а)),вайкнутый,-ун,вайкнун,-ун
12,варатать,мечтать и придумывать сценарии в голове (эквивалент английскому daydream),варататель,-тель,варатор,-ер (-ор),варататель,-тель,варататель,-ун,варататель,-тель
13,вуляжить,спать на животе,вуляжник,"-ник (-еник, -ик)",вуляжник,"-ник (-еник, -ик)",вуляжник,"-ник (-еник, -ик)",вуляжатель,-тель,вуляжник,"-ник (-еник, -ик)"
14,жойкать,поймать предмет ртом,жойкун,-ун,жойщик,-щик (-чик),жойкала,-л(о) (-л(а)),жойкач (хорошо жойкает) / жойкатель (просто/часто жойкает),-тель,жойкатель,-тель
15,идрать,ходить на носочках,идропатик,другое,идратель,-тель,идрун,-ун,идратист / идратчик (часто идрает),-ист,идральщик,-льщик
16,куртать,есть макароны вниз головой,куртунчик,-щик (-чик),куртан,другое,куртала,-л(о) (-л(а)),куртатель,-тель,куртальщик,-льщик
17,лубудить,облизывать сосульки,лубудник,"-ник (-еник, -ик)",лубудила,-л(о) (-л(а)),лубудила,-л(о) (-л(а)),лубудитель,-тель,лубудитель,-тель
18,мазадить,управлять снами,мазадатель,-тель,мазадист,-ист,мазадник,"-ник (-еник, -ик)",мазадист,-ист,мазадитель,-тель
19,малтать,"молча кивать, когда ничего не понял",малтунщик,-щик (-чик),малтун,-ун,малтала,-л(о) (-л(а)),малтальщик,-льщик,малтун,-ун
20,палеведать,интересоваться динозаврами,палеведатель,-тель,палеведатель,-тель,палеведун,-ун,палеведа,другое,палеведатель,-тель
21,пиланить,ходить спиной вперед,пиланист,-ист,пиликан,другое,пиланщик,-ун,пиланитель,-тель,пиланитель,-тель
22,фаять ,лепить фигурки из соленого теста,фаятель,-тель,фаяльщик,-льщик,фаяльщик,-ун,фаятель,-тель,фаятель,-тель
23,фуркозить,нервно перебирать что-то руками,фуркозик,"-ник (-еник, -ик)",фуркозник,"-ник (-еник, -ик)",фуркоза,другое,фуркозист,-ист,фуркозист,-ист
