id,verb,meaning,model,model_output,model_suffix,human_majority_form,human_majority_form_count,human_supported_forms,human_majority_suffix,human_majority_suffix_count,human_attested_suffixes,human_num_distinct_forms,human_num_distinct_suffixes,exact_majority_match,form_in_human_supported_set,suffix_matches_majority,suffix_attested_by_humans,divergence_type
1,вертеть,вертеть,qwen,вертун,-ун,вертельщик/вертильщик/вертульщик,10.0,вертельщик/вертильщик/вертульщик; вертун/верчун; вертетель; вертела; шашлыковерт; вертухай,-льщик,10.0,-льщик; -ун; -тель; -л(о) (-л(а)); другое,6.0,5.0,0,1,0,1,human_supported_non_majority_form
1,вертеть,вертеть,mistral,вертильщик,-льщик,вертельщик/вертильщик/вертульщик,10.0,вертельщик/вертильщик/вертульщик; вертун/верчун; вертетель; вертела; шашлыковерт; вертухай,-льщик,10.0,-льщик; -ун; -тель; -л(о) (-л(а)); другое,6.0,5.0,1,1,1,1,exact_majority_match
1,вертеть,вертеть,claude,вертун,-ун,вертельщик/вертильщик/вертульщик,10.0,вертельщик/вертильщик/вертульщик; вертун/верчун; вертетель; вертела; шашлыковерт; вертухай,-льщик,10.0,-льщик; -ун; -тель; -л(о) (-л(а)); другое,6.0,5.0,0,1,0,1,human_supported_non_majority_form
1,вертеть,вертеть,yandex,вертельщик,-ун,вертельщик/вертильщик/вертульщик,10.0,вертельщик/вертильщик/вертульщик; вертун/верчун; вертетель; вертела; шашлыковерт; вертухай,-льщик,10.0,-льщик; -ун; -тель; -л(о) (-л(а)); другое,6.0,5.0,1,1,0,1,exact_majority_match
1,вертеть,вертеть,alice,вертун,-ун,вертельщик/вертильщик/вертульщик,10.0,вертельщик/вертильщик/вертульщик; вертун/верчун; вертетель; вертела; шашлыковерт; вертухай,-льщик,10.0,-льщик; -ун; -тель; -л(о) (-л(а)); другое,6.0,5.0,0,1,0,1,human_supported_non_majority_form
2,выть,выть,qwen,вытья,другое,воюн/вун,11.0,воюн/вун; вытик; вытель/воятель; войник; воищик; выло,-ун,11.0,"-ун; -ник (-еник, -ик); -тель; -щик (-чик); -л(о) (-л(а))",6.0,5.0,0,0,0,0,new_form_unattested_suffix
2,выть,выть,mistral,волк,другое,воюн/вун,11.0,воюн/вун; вытик; вытель/воятель; войник; воищик; выло,-ун,11.0,"-ун; -ник (-еник, -ик); -тель; -щик (-чик); -л(о) (-л(а))",6.0,5.0,0,0,0,0,new_form_unattested_suffix
2,выть,выть,claude,вой,другое,воюн/вун,11.0,воюн/вун; вытик; вытель/воятель; войник; воищик; выло,-ун,11.0,"-ун; -ник (-еник, -ик); -тель; -щик (-чик); -л(о) (-л(а))",6.0,5.0,0,0,0,0,new_form_unattested_suffix
2,выть,выть,yandex,воющий,другое,воюн/вун,11.0,воюн/вун; вытик; вытель/воятель; войник; воищик; выло,-ун,11.0,"-ун; -ник (-еник, -ик); -тель; -щик (-чик); -л(о) (-л(а))",6.0,5.0,0,0,0,0,new_form_unattested_suffix
2,выть,выть,alice,воющий,другое,воюн/вун,11.0,воюн/вун; вытик; вытель/воятель; войник; воищик; выло,-ун,11.0,"-ун; -ник (-еник, -ик); -тель; -щик (-чик); -л(о) (-л(а))",6.0,5.0,0,0,0,0,new_form_unattested_suffix
3,гнуть,гнуть,qwen,гнусарь,-арь,Гнутец/гнетец/гнец/гнулец,8.0,гнутель; гнетальщик; гнетчик/гнетщик; Гнулка; Гнульщик; Гнун; Гнуңщик; Гнутец/гнетец/гнец/гнулец; Гнутик; Гнуток; Сгибатель; Сгибщик/гибщик,-ец (-нец),8.0,"-тель; -льщик; -щик (-чик); -л(о) (-л(а)); -ун; -ец (-нец); -ник (-еник, -ик); -ок",12.0,8.0,0,0,0,0,new_form_unattested_suffix
3,гнуть,гнуть,mistral,гнущийся,другое,Гнутец/гнетец/гнец/гнулец,8.0,гнутель; гнетальщик; гнетчик/гнетщик; Гнулка; Гнульщик; Гнун; Гнуңщик; Гнутец/гнетец/гнец/гнулец; Гнутик; Гнуток; Сгибатель; Сгибщик/гибщик,-ец (-нец),8.0,"-тель; -льщик; -щик (-чик); -л(о) (-л(а)); -ун; -ец (-нец); -ник (-еник, -ик); -ок",12.0,8.0,0,0,0,0,new_form_unattested_suffix
3,гнуть,гнуть,claude,гнун,-ун,Гнутец/гнетец/гнец/гнулец,8.0,гнутель; гнетальщик; гнетчик/гнетщик; Гнулка; Гнульщик; Гнун; Гнуңщик; Гнутец/гнетец/гнец/гнулец; Гнутик; Гнуток; Сгибатель; Сгибщик/гибщик,-ец (-нец),8.0,"-тель; -льщик; -щик (-чик); -л(о) (-л(а)); -ун; -ец (-нец); -ник (-еник, -ик); -ок",12.0,8.0,0,1,0,1,human_supported_non_majority_form
3,гнуть,гнуть,yandex,гнётчик,-щик (-чик),Гнутец/гнетец/гнец/гнулец,8.0,гнутель; гнетальщик; гнетчик/гнетщик; Гнулка; Гнульщик; Гнун; Гнуңщик; Гнутец/гнетец/гнец/гнулец; Гнутик; Гнуток; Сгибатель; Сгибщик/гибщик,-ец (-нец),8.0,"-тель; -льщик; -щик (-чик); -л(о) (-л(а)); -ун; -ец (-нец); -ник (-еник, -ик); -ок",12.0,8.0,0,0,0,1,new_form_attested_suffix
3,гнуть,гнуть,alice,гнётчик,-щик (-чик),Гнутец/гнетец/гнец/гнулец,8.0,гнутель; гнетальщик; гнетчик/гнетщик; Гнулка; Гнульщик; Гнун; Гнуңщик; Гнутец/гнетец/гнец/гнулец; Гнутик; Гнуток; Сгибатель; Сгибщик/гибщик,-ец (-нец),8.0,"-тель; -льщик; -щик (-чик); -л(о) (-л(а)); -ун; -ец (-нец); -ник (-еник, -ик); -ок",12.0,8.0,0,0,0,1,new_form_attested_suffix
4,дуть,дуть,qwen,дущик,-щик (-чик),Дувец/дудец/дуец/дутец,8.0,выдувальщик; Дувец/дудец/дуец/дутец; дульщик; Дун; дуновщик; дутель/дуятель; Надуватель,-ец (-нец),8.0,-льщик; -ец (-нец); -ун; -щик (-чик); -тель,7.0,5.0,0,0,0,1,new_form_attested_suffix
4,дуть,дуть,mistral,дуй,другое,Дувец/дудец/дуец/дутец,8.0,выдувальщик; Дувец/дудец/дуец/дутец; дульщик; Дун; дуновщик; дутель/дуятель; Надуватель,-ец (-нец),8.0,-льщик; -ец (-нец); -ун; -щик (-чик); -тель,7.0,5.0,0,0,0,0,new_form_unattested_suffix
4,дуть,дуть,claude,дун,-ун,Дувец/дудец/дуец/дутец,8.0,выдувальщик; Дувец/дудец/дуец/дутец; дульщик; Дун; дуновщик; дутель/дуятель; Надуватель,-ец (-нец),8.0,-льщик; -ец (-нец); -ун; -щик (-чик); -тель,7.0,5.0,0,1,0,1,human_supported_non_majority_form
4,дуть,дуть,yandex,дутьщик,-щик (-чик),Дувец/дудец/дуец/дутец,8.0,выдувальщик; Дувец/дудец/дуец/дутец; дульщик; Дун; дуновщик; дутель/дуятель; Надуватель,-ец (-нец),8.0,-льщик; -ец (-нец); -ун; -щик (-чик); -тель,7.0,5.0,0,0,0,1,new_form_attested_suffix
4,дуть,дуть,alice,дутель,-тель,Дувец/дудец/дуец/дутец,8.0,выдувальщик; Дувец/дудец/дуец/дутец; дульщик; Дун; дуновщик; дутель/дуятель; Надуватель,-ец (-нец),8.0,-льщик; -ец (-нец); -ун; -щик (-чик); -тель,7.0,5.0,0,1,0,1,human_supported_non_majority_form
5,опаздывать,опаздывать,qwen,опоздун,-ун,опаздун/опоздун,23.0,опаздун/опоздун; опаздыватель,-ун,23.0,-ун; -тель,2.0,2.0,1,1,1,1,exact_majority_match
5,опаздывать,опаздывать,mistral,опоздун,-ун,опаздун/опоздун,23.0,опаздун/опоздун; опаздыватель,-ун,23.0,-ун; -тель,2.0,2.0,1,1,1,1,exact_majority_match
5,опаздывать,опаздывать,claude,опоздун,-ун,опаздун/опоздун,23.0,опаздун/опоздун; опаздыватель,-ун,23.0,-ун; -тель,2.0,2.0,1,1,1,1,exact_majority_match
5,опаздывать,опаздывать,yandex,опоздун,-ун,опаздун/опоздун,23.0,опаздун/опоздун; опаздыватель,-ун,23.0,-ун; -тель,2.0,2.0,1,1,1,1,exact_majority_match
5,опаздывать,опаздывать,alice,опоздун,-ун,опаздун/опоздун,23.0,опаздун/опоздун; опаздыватель,-ун,23.0,-ун; -тель,2.0,2.0,1,1,1,1,exact_majority_match
6,поднатаскать,подготовить натренировать,qwen,поднатаскатель,-тель,поднатаскиватель/поднатаскатель/натаскиватель,21.0,поднатаскиватель/поднатаскатель/натаскиватель; поднатасчик,-тель,21.0,-тель; -щик (-чик),2.0,2.0,1,1,1,1,exact_majority_match
6,поднатаскать,подготовить натренировать,mistral,поднатаскиватель,-тель,поднатаскиватель/поднатаскатель/натаскиватель,21.0,поднатаскиватель/поднатаскатель/натаскиватель; поднатасчик,-тель,21.0,-тель; -щик (-чик),2.0,2.0,1,1,1,1,exact_majority_match
6,поднатаскать,подготовить натренировать,claude,поднатаскиватель,-тель,поднатаскиватель/поднатаскатель/натаскиватель,21.0,поднатаскиватель/поднатаскатель/натаскиватель; поднатасчик,-тель,21.0,-тель; -щик (-чик),2.0,2.0,1,1,1,1,exact_majority_match
6,поднатаскать,подготовить натренировать,yandex,Поднатаскиватель.,-тель,поднатаскиватель/поднатаскатель/натаскиватель,21.0,поднатаскиватель/поднатаскатель/натаскиватель; поднатасчик,-тель,21.0,-тель; -щик (-чик),2.0,2.0,0,0,1,1,new_form_attested_suffix
6,поднатаскать,подготовить натренировать,alice,поднатаскиватель,-тель,поднатаскиватель/поднатаскатель/натаскиватель,21.0,поднатаскиватель/поднатаскатель/натаскиватель; поднатасчик,-тель,21.0,-тель; -щик (-чик),2.0,2.0,1,1,1,1,exact_majority_match
7,рыдать,рыдать,qwen,рыдающий,другое,рыдатель,5.0,рыдалец; рыдальщик; рыдун; рыдатель; рыдайка; рыдала; рыдатик,-тель,5.0,"-щик (-чик); -льщик; -ун; -тель; -ка; -л(о) (-л(а)); -ник (-еник, -ик)",7.0,7.0,0,0,0,0,new_form_unattested_suffix
7,рыдать,рыдать,mistral,плакса,другое,рыдатель,5.0,рыдалец; рыдальщик; рыдун; рыдатель; рыдайка; рыдала; рыдатик,-тель,5.0,"-щик (-чик); -льщик; -ун; -тель; -ка; -л(о) (-л(а)); -ник (-еник, -ик)",7.0,7.0,0,0,0,0,new_form_unattested_suffix
7,рыдать,рыдать,claude,рыдала,-л(о) (-л(а)),рыдатель,5.0,рыдалец; рыдальщик; рыдун; рыдатель; рыдайка; рыдала; рыдатик,-тель,5.0,"-щик (-чик); -льщик; -ун; -тель; -ка; -л(о) (-л(а)); -ник (-еник, -ик)",7.0,7.0,0,1,0,1,human_supported_non_majority_form
7,рыдать,рыдать,yandex,рыдающий,другое,рыдатель,5.0,рыдалец; рыдальщик; рыдун; рыдатель; рыдайка; рыдала; рыдатик,-тель,5.0,"-щик (-чик); -льщик; -ун; -тель; -ка; -л(о) (-л(а)); -ник (-еник, -ик)",7.0,7.0,0,0,0,0,new_form_unattested_suffix
7,рыдать,рыдать,alice,рыдающий,другое,рыдатель,5.0,рыдалец; рыдальщик; рыдун; рыдатель; рыдайка; рыдала; рыдатик,-тель,5.0,"-щик (-чик); -льщик; -ун; -тель; -ка; -л(о) (-л(а)); -ник (-еник, -ик)",7.0,7.0,0,0,0,0,new_form_unattested_suffix
8,стащить,стащить,qwen,сталкер,-ер (-ор),таскун/тащун/утаскун/стащун,7.0,стаскиватель/стащиватель/стащитель; стащильщик/тащильщик/таскальщик/стащик; таскун/тащун/утаскун/стащун; тащила; стащер,-ун,7.0,-тель; -льщик; -ун; -л(о) (-л(а)); -ер (-ор),5.0,5.0,0,0,0,1,new_form_attested_suffix
8,стащить,стащить,mistral,cтащитель,-тель,таскун/тащун/утаскун/стащун,7.0,стаскиватель/стащиватель/стащитель; стащильщик/тащильщик/таскальщик/стащик; таскун/тащун/утаскун/стащун; тащила; стащер,-ун,7.0,-тель; -льщик; -ун; -л(о) (-л(а)); -ер (-ор),5.0,5.0,0,0,0,1,new_form_attested_suffix
8,стащить,стащить,claude,стащила,-л(о) (-л(а)),таскун/тащун/утаскун/стащун,7.0,стаскиватель/стащиватель/стащитель; стащильщик/тащильщик/таскальщик/стащик; таскун/тащун/утаскун/стащун; тащила; стащер,-ун,7.0,-тель; -льщик; -ун; -л(о) (-л(а)); -ер (-ор),5.0,5.0,0,0,0,1,new_form_attested_suffix
8,стащить,стащить,yandex,стащитель/тать,-тель,таскун/тащун/утаскун/стащун,7.0,стаскиватель/стащиватель/стащитель; стащильщик/тащильщик/таскальщик/стащик; таскун/тащун/утаскун/стащун; тащила; стащер,-ун,7.0,-тель; -льщик; -ун; -л(о) (-л(а)); -ер (-ор),5.0,5.0,0,0,0,1,new_form_attested_suffix
8,стащить,стащить,alice,Стащильщик,-льщик,таскун/тащун/утаскун/стащун,7.0,стаскиватель/стащиватель/стащитель; стащильщик/тащильщик/таскальщик/стащик; таскун/тащун/утаскун/стащун; тащила; стащер,-ун,7.0,-тель; -льщик; -ун; -л(о) (-л(а)); -ер (-ор),5.0,5.0,0,1,0,1,human_supported_non_majority_form
9,хихикать,хихикать,qwen,хихикун,-ун,хихикатель,5.0,хихикатель; хихикалец; хиха/хихикач; хихишник; хихикаль; хиханька; хихатун/хихикун; хихикалка/хихикль; хихикан; хихика; хихоня,-тель,5.0,"-тель; -ец (-нец); другое; -ник (-еник, -ик); -л(о) (-л(а)); -ка; -ун",11.0,7.0,0,1,0,1,human_supported_non_majority_form
9,хихикать,хихикать,mistral,хихикатель,-тель,хихикатель,5.0,хихикатель; хихикалец; хиха/хихикач; хихишник; хихикаль; хиханька; хихатун/хихикун; хихикалка/хихикль; хихикан; хихика; хихоня,-тель,5.0,"-тель; -ец (-нец); другое; -ник (-еник, -ик); -л(о) (-л(а)); -ка; -ун",11.0,7.0,1,1,1,1,exact_majority_match
9,хихикать,хихикать,claude,хихикала,-л(о) (-л(а)),хихикатель,5.0,хихикатель; хихикалец; хиха/хихикач; хихишник; хихикаль; хиханька; хихатун/хихикун; хихикалка/хихикль; хихикан; хихика; хихоня,-тель,5.0,"-тель; -ец (-нец); другое; -ник (-еник, -ик); -л(о) (-л(а)); -ка; -ун",11.0,7.0,0,0,0,1,new_form_attested_suffix
9,хихикать,хихикать,yandex,хихикающий,другое,хихикатель,5.0,хихикатель; хихикалец; хиха/хихикач; хихишник; хихикаль; хиханька; хихатун/хихикун; хихикалка/хихикль; хихикан; хихика; хихоня,-тель,5.0,"-тель; -ец (-нец); другое; -ник (-еник, -ик); -л(о) (-л(а)); -ка; -ун",11.0,7.0,0,0,0,1,new_form_attested_suffix
9,хихикать,хихикать,alice,Хихикальщик,-льщик,хихикатель,5.0,хихикатель; хихикалец; хиха/хихикач; хихишник; хихикаль; хиханька; хихатун/хихикун; хихикалка/хихикль; хихикан; хихика; хихоня,-тель,5.0,"-тель; -ец (-нец); другое; -ник (-еник, -ик); -л(о) (-л(а)); -ка; -ун",11.0,7.0,0,0,0,0,new_form_unattested_suffix
10,авитить,продавать вещи на авито,qwen,авитер,-ер (-ор),Авитор/авитёр/авитер,7.0,авит; Авитальщик; Авитатель/авититель; авитель; Авитила; Авитист; авититщик/авищик; Авитовец; Авитор/авитёр/авитер; Авитчик,-ер (-ор),7.0,другое; -льщик; -тель; -л(о) (-л(а)); -ист; -щик (-чик); -ец (-нец); -ер (-ор),10.0,8.0,1,1,1,1,exact_majority_match
10,авитить,продавать вещи на авито,mistral,авититель,-тель,Авитор/авитёр/авитер,7.0,авит; Авитальщик; Авитатель/авититель; авитель; Авитила; Авитист; авититщик/авищик; Авитовец; Авитор/авитёр/авитер; Авитчик,-ер (-ор),7.0,другое; -льщик; -тель; -л(о) (-л(а)); -ист; -щик (-чик); -ец (-нец); -ер (-ор),10.0,8.0,0,1,0,1,human_supported_non_majority_form
10,авитить,продавать вещи на авито,claude,авитчик,-щик (-чик),Авитор/авитёр/авитер,7.0,авит; Авитальщик; Авитатель/авититель; авитель; Авитила; Авитист; авититщик/авищик; Авитовец; Авитор/авитёр/авитер; Авитчик,-ер (-ор),7.0,другое; -льщик; -тель; -л(о) (-л(а)); -ист; -щик (-чик); -ец (-нец); -ер (-ор),10.0,8.0,0,1,0,1,human_supported_non_majority_form
10,авитить,продавать вещи на авито,yandex,авититель,-ун,Авитор/авитёр/авитер,7.0,авит; Авитальщик; Авитатель/авититель; авитель; Авитила; Авитист; авититщик/авищик; Авитовец; Авитор/авитёр/авитер; Авитчик,-ер (-ор),7.0,другое; -льщик; -тель; -л(о) (-л(а)); -ист; -щик (-чик); -ец (-нец); -ер (-ор),10.0,8.0,0,1,0,0,human_supported_non_majority_form
10,авитить,продавать вещи на авито,alice,авитчик,-щик (-чик),Авитор/авитёр/авитер,7.0,авит; Авитальщик; Авитатель/авититель; авитель; Авитила; Авитист; авититщик/авищик; Авитовец; Авитор/авитёр/авитер; Авитчик,-ер (-ор),7.0,другое; -льщик; -тель; -л(о) (-л(а)); -ист; -щик (-чик); -ец (-нец); -ер (-ор),10.0,8.0,0,1,0,1,human_supported_non_majority_form
11,вайкнуть,больно стукнуться локтем,qwen,вайкунщик,-щик (-чик),Вайкатель,8.0,Вайк; вайка; вайкавщик; Вайкала; Вайкалец; Вайкаль; Вайканавт; Вайкатель; вайкатчик; Вайкса; Вайкун; вайкуша; вайкучник,-тель,8.0,"другое; -ка; -щик (-чик); -л(о) (-л(а)); -ец (-нец); -тель; -ун; -ник (-еник, -ик)",13.0,8.0,0,0,0,1,new_form_attested_suffix
11,вайкнуть,больно стукнуться локтем,mistral,вайкунщик,-щик (-чик),Вайкатель,8.0,Вайк; вайка; вайкавщик; Вайкала; Вайкалец; Вайкаль; Вайканавт; Вайкатель; вайкатчик; Вайкса; Вайкун; вайкуша; вайкучник,-тель,8.0,"другое; -ка; -щик (-чик); -л(о) (-л(а)); -ец (-нец); -тель; -ун; -ник (-еник, -ик)",13.0,8.0,0,0,0,1,new_form_attested_suffix
11,вайкнуть,больно стукнуться локтем,claude,вайкала,-л(о) (-л(а)),Вайкатель,8.0,Вайк; вайка; вайкавщик; Вайкала; Вайкалец; Вайкаль; Вайканавт; Вайкатель; вайкатчик; Вайкса; Вайкун; вайкуша; вайкучник,-тель,8.0,"другое; -ка; -щик (-чик); -л(о) (-л(а)); -ец (-нец); -тель; -ун; -ник (-еник, -ик)",13.0,8.0,0,1,0,1,human_supported_non_majority_form
11,вайкнуть,больно стукнуться локтем,yandex,вайкнутый,-ун,Вайкатель,8.0,Вайк; вайка; вайкавщик; Вайкала; Вайкалец; Вайкаль; Вайканавт; Вайкатель; вайкатчик; Вайкса; Вайкун; вайкуша; вайкучник,-тель,8.0,"другое; -ка; -щик (-чик); -л(о) (-л(а)); -ец (-нец); -тель; -ун; -ник (-еник, -ик)",13.0,8.0,0,0,0,1,new_form_attested_suffix
11,вайкнуть,больно стукнуться локтем,alice,вайкнун,-ун,Вайкатель,8.0,Вайк; вайка; вайкавщик; Вайкала; Вайкалец; Вайкаль; Вайканавт; Вайкатель; вайкатчик; Вайкса; Вайкун; вайкуша; вайкучник,-тель,8.0,"другое; -ка; -щик (-чик); -л(о) (-л(а)); -ец (-нец); -тель; -ун; -ник (-еник, -ик)",13.0,8.0,0,0,0,1,new_form_attested_suffix
12,варатать,мечтать и придумывать сценарии в голове (эквивалент английскому daydream),qwen,варататель,-тель,варататель,14.0,Варатал; варатальщик; варататель; Варатун; воротец,-тель,14.0,-л(о) (-л(а)); -льщик; -тель; -ун; -ец (-нец),5.0,5.0,1,1,1,1,exact_majority_match
12,варатать,мечтать и придумывать сценарии в голове (эквивалент английскому daydream),mistral,варатор,-ер (-ор),варататель,14.0,Варатал; варатальщик; варататель; Варатун; воротец,-тель,14.0,-л(о) (-л(а)); -льщик; -тель; -ун; -ец (-нец),5.0,5.0,0,0,0,0,new_form_unattested_suffix
12,варатать,мечтать и придумывать сценарии в голове (эквивалент английскому daydream),claude,варататель,-тель,варататель,14.0,Варатал; варатальщик; варататель; Варатун; воротец,-тель,14.0,-л(о) (-л(а)); -льщик; -тель; -ун; -ец (-нец),5.0,5.0,1,1,1,1,exact_majority_match
12,варатать,мечтать и придумывать сценарии в голове (эквивалент английскому daydream),yandex,варататель,-ун,варататель,14.0,Варатал; варатальщик; варататель; Варатун; воротец,-тель,14.0,-л(о) (-л(а)); -льщик; -тель; -ун; -ец (-нец),5.0,5.0,1,1,0,1,exact_majority_match
12,варатать,мечтать и придумывать сценарии в голове (эквивалент английскому daydream),alice,варататель,-тель,варататель,14.0,Варатал; варатальщик; варататель; Варатун; воротец,-тель,14.0,-л(о) (-л(а)); -льщик; -тель; -ун; -ец (-нец),5.0,5.0,1,1,1,1,exact_majority_match
