id,verb,meaning,output,suffix,embedding_path
1,вертеть,вертеть,вертун,-ун,
2,выть,выть,вытья,другое,
3,гнуть,гнуть,гнусарь,-арь,
4,дуть,дуть,дущик,-щик (-чик),
5,опаздывать,опаздывать,опоздун,-ун,
6,поднатаскать,подготовить натренировать,поднатаскатель,-тель,
7,рыдать,рыдать,рыдающий,другое,
8,стащить,стащить,сталкер,-ер (-ор),
9,хихикать,хихикать,хихикун,-ун,
10,авитить,продавать вещи на авито,авитер,-ер (-ор),
11,вайкнуть,больно стукнуться локтем ,вайкунщик,-щик (-чик),
12,варатать,мечтать и придумывать сценарии в голове (эквивалент английскому daydream),варататель,-тель,
13,вуляжить,спать на животе,вуляжник,"-ник (-еник, -ик)",
14,жойкать,поймать предмет ртом,жойкун,-ун,
15,идрать,ходить на носочках,идропатик,другое,
16,куртать,есть макароны вниз головой,куртунчик,-щик (-чик),
17,лубудить,облизывать сосульки,лубудник,"-ник (-еник, -ик)",
18,мазадить,управлять снами,мазадатель,-тель,
19,малтать,"молча кивать, когда ничего не понял",малтунщик,-щик (-чик),
20,палеведать,интересоваться динозаврами,палеведатель,-тель,
21,пиланить,ходить спиной вперед,пиланист,-ист,
22,фаять ,лепить фигурки из соленого теста,фаятель,-тель,
23,фуркозить,нервно перебирать что-то руками,фуркозик,"-ник (-еник, -ик)",
