model,suffix,count,share
humans,-тель,10,43.5
humans,-ун,4,17.4
humans,-ец (-нец),2,8.7
humans,другое,2,8.7
humans,-льщик,1,4.3
humans,-ер (-ор),1,4.3
humans,"-ник (-еник, -ик)",1,4.3
humans,-ист,1,4.3
humans,-щик (-чик),1,4.3
alice,-ист,1,4.3
alice,-льщик,4,17.4
alice,"-ник (-еник, -ик)",1,4.3
alice,-тель,9,39.1
alice,-ун,4,17.4
alice,-щик (-чик),2,8.7
alice,другое,2,8.7
claude,-л(о) (-л(а)),8,34.8
claude,"-ник (-еник, -ик)",2,8.7
claude,-тель,2,8.7
claude,-ун,8,34.8
claude,-щик (-чик),1,4.3
claude,другое,2,8.7
mistral,-ер (-ор),1,4.3
mistral,-ист,1,4.3
mistral,-л(о) (-л(а)),1,4.3
mistral,-льщик,2,8.7
mistral,"-ник (-еник, -ик)",2,8.7
mistral,-тель,6,26.1
mistral,-ун,2,8.7
mistral,-щик (-чик),2,8.7
mistral,другое,6,26.1
qwen,-арь,1,4.3
qwen,-ер (-ор),2,8.7
qwen,-ист,1,4.3
qwen,"-ник (-еник, -ик)",3,13.0
qwen,-тель,5,21.7
qwen,-ун,4,17.4
qwen,-щик (-чик),4,17.4
qwen,другое,3,13.0
yandex,-ист,3,13.0
yandex,-льщик,1,4.3
yandex,-тель,8,34.8
yandex,-ун,5,21.7
yandex,-щик (-чик),2,8.7
yandex,другое,4,17.4
