verb,definition
жойкать,поймать предмет ртом
идрать,ходить на носочках
малтать,"молча кивать, когда ничего не понял"
куртать,есть макароны вниз головой
вайкнуть,больно стукнуться локтем 
авитить,продавать вещи на авито
вуляжить,спать на животе
варатать,мечтать и придумывать сценарии в голове
мазадить,управлять снами
фаять ,лепить фигурки из соленого теста
лубудить,облизывать сосульки
палеведать,интересоваться динозаврами
пиланить,ходить спиной вперед
фуркозить,нервно перебирать что-то руками
